KELAS,TEKS
sapa,halo
sapa,halo kak
sapa,halo min
sapa,halo sis
sapa,hai
sapa,hai kak
sapa,hai min
sapa,hai sis
sapa,halo gan
sapa,halo bestie
sapa,hey
sapa,hay
sapa,pagi
sapa,siang
sapa,sore
sapa,malam
sapa,selamat pagi
sapa,selamat siang
sapa,selamat sore
sapa,selamat malam
sapa,apa kabar
sapa,hello
sapa,ap kabar
sapa,ap kbr
sapa,loha
sapa,haii
sapa,haloo
sapa,p
sapa,ping
sapa,tok tok
sapa,hoii
sapa,woi
sapa,woii
sapa,woy
sapa,woyy
sapa,oi
sapa,oii
sapa,oy
sapa,oyy
sapa,hei
sapa,heii
sapa,hey
sapa,heyy
sapa,halo apa kabar kak
sapa,halo apa kabar
sapa,halo apa kabar min
sapa,halo apa kabar gan
sapa,hi
sapa,hola
sapa,annyeong
sapa,heyo
sapa,haiii
sapa,halooo
sapa,pagiii
sapa,met pagi
sapa,met siang
sapa,met malam
sapa,met sore
sapa,hallo
sapa,halloo
sapa,halloooo
sapa,halo
sapa,heeey
sapa,hello
sapa,pagi kak
sapa,siang kak
sapa,sore kak
sapa,malam kak
salam_perpisahan,bye
salam_perpisahan,goodbye
salam_perpisahan,good bye
salam_perpisahan,dah
salam_perpisahan,dadah
salam_perpisahan,sampai jumpa lain kali
salam_perpisahan,selamat tinggal
salam_perpisahan,sampai jumpa
salam_perpisahan,sampai jumpa lagi
salam_perpisahan,sampai nanti
salam_perpisahan,jumpa lagi
salam_perpisahan,sampai ketemu lagi
salam_perpisahan,senang bicara denganmu
salam_perpisahan,sampai berjumpa
salam_perpisahan,sampai berjumpa lagi
salam_perpisahan,sampai ketemu besok
salam_perpisahan,babay
salam_perpisahan,dahh
salam_perpisahan,dah kak
salam_perpisahan,dah min
salam_perpisahan,dah gan
salam_perpisahan,dadahh
salam_perpisahan,dah bg
salam_perpisahan,dah bang
salam_perpisahan,by4
salam_perpisahan,byee
salam_perpisahan,sampai berjumpa lagi besok
salam_perpisahan,sampai ketemu lagi besok
salam_perpisahan,sampai ketemu nanti ya
salam_perpisahan,byee kak
salam_perpisahan,bye kak
salam_perpisahan,bye min
tanya_pesan,saya ingin pesan sekarang
tanya_pesan,saya ingin pesan sekarang kak
tanya_pesan,saya ingin pesan sekarang min
tanya_pesan,saya mau pesan sekarang
tanya_pesan,saya mau pesan sekarang kak
tanya_pesan,saya mau pesan sekarang min
tanya_pesan,saya mau beli barang
tanya_pesan,saya mau beli
tanya_pesan,bisa beli sekarang
tanya_pesan,mau beli kak
tanya_pesan,mau beli dong kak
tanya_pesan,saya mau pesan kak
tanya_pesan,saya mau pesan min
tanya_pesan,saya mau beli kak
tanya_pesan,saya mau beli min
tanya_pesan,mo beli kak
tanya_pesan,mo pesan kak
tanya_pesan,aku mau beli sekarang
tanya_pesan,aku mau beli
tanya_pesan,aku mo beli
tanya_pesan,pesan ini sekarang
tanya_pesan,aku mau pesan
tanya_pesan,beli laptop ini 
tanya_pesan,saya mau beli laptopnya
tanya_pesan,pesan produk ini dong
tanya_pesan,saya pesan laptop ini
tanya_pesan,saya mau beli laptop ini
tanya_pesan,saya mau beli produk ini
tanya_pesan,saya ingin pesan produk ini 
tanya_pesan,mau laptop ini kak
tanya_pesan,mau laptop ini dong
tanya_pesan,mau barang ini min
tanya_pesan,mau produk ini kak
tanya_pesan,mau barang ini dong kak
tanya_pesan,mau pesen yang ini dong
tanya_pesan,mau pesen yang ini kak
tanya_pesan,mau pesen yang ini min
tanya_pesan,mw beli ini kak
tanya_pesan,mw beli ini min
tanya_pesan,mw pesen dong
tanya_pesan,mw pesen dongs
tanya_pesan,mw pesen dongz
tanya_pesan,bisa pesan sekarang
tanya_pesan,bisa pesan skrng
tanya_pesan,saya ingin pesan skrng
tanya_pesan,saya ingin pesan skrng kak
tanya_pesan,saya ingin pesan skrng min
tanya_pesan,saya mau pesan skrng
tanya_pesan,saya mau pesan skrng kak
tanya_pesan,saya mau pesan skrng min
tanya_pesan,aku ingin pesan sekarang
tanya_pesan,aku ingin pesan sekarang kak
tanya_pesan,aku ingin pesan sekarang min
tanya_pesan,aku mau pesan sekarang
tanya_pesan,aku mau pesan sekarang kak
tanya_pesan,aku mau pesan sekarang min
tanya_pesan,aku mau beli barang
tanya_pesan,aku mau beli
tanya_pesan,gw mau beli
tanya_pesan,gua mau beli
tanya_pesan,gue mau beli
tanya_pesan,w mau beli
tanya_pesan,pesan sekarang bisa
tanya_pesan,boleh pesan sekarang
tanya_rekomendasi,produk terlaris
tanya_rekomendasi,rekomendasi
tanya_rekomendasi,rekomendasii
tanya_rekomendasi,rekomendasiii
tanya_rekomendasi,rekomendasi ini
tanya_rekomendasi,rekomendasi ini dong
tanya_rekomendasi,rekomendasi ini dong kak
tanya_rekomendasi,rekomendasi ini dong kk
tanya_rekomendasi,rekomendasi ini dong min
tanya_rekomendasi,rekomendasi ini dong sis
tanya_rekomendasi,rekomendasi ini dong bro
tanya_rekomendasi,rekomendasi ini dong gan
tanya_rekomendasi,rekomendasi ini dong mba
tanya_rekomendasi,rekomendasi ini dong mbak
tanya_rekomendasi,rekomendasi ini dongg
tanya_rekomendasi,rekomendasii ini dongg
tanya_rekomendasi,rekomendasii ini dongg kk
tanya_rekomendasi,rekomendasii ini dongg kak
tanya_rekomendasi,produk terlaris yang mana kak
tanya_rekomendasi,rekomendasi produk terlaris kak
tanya_rekomendasi,barang terlaris
tanya_rekomendasi,bestseller yang mana
tanya_rekomendasi,harga termurah yang mana ya kak
tanya_rekomendasi,harga termahal yang mana ya kak
tanya_rekomendasi,laptop termahal
tanya_rekomendasi,laptop termurah
tanya_rekomendasi,yang paling recommended apa ya kak
tanya_rekomendasi,harga laptop paling mahal
tanya_rekomendasi,harga laptop termahal
tanya_rekomendasi,harga laptop paling murah
tanya_rekomendasi,harga laptop termurah
tanya_rekomendasi,yang paling mahal yang mana ya kak
tanya_rekomendasi,yang paling murah yang mana ya kak
tanya_rekomendasi,rekomendasi laptop
tanya_rekomendasi,rekomen laptop
tanya_rekomendasi,mana yang paling rekomen
tanya_rekomendasi,laptop paling bagus yang mana
tanya_rekomendasi,yang mana paling rekomen
tanya_rekomendasi,rekomen beli yang mana
tanya_rekomendasi,info laptop bagus
tanya_rekomendasi,p info laptop
tanya_rekomendasi,info laptop keren
tanya_rekomendasi,kak boleh ga minta rekomendasi laptop bagus
tanya_rekomendasi,minta rekomendasi laptop murah tapi bagus kak
tanya_rekomendasi,mau dong rekomendasi laptop yang keren
tanya_rekomendasi,rekomen laptop terbaik
tanya_rekomendasi,ingfo laptop
tanya_rekomendasi,mau dong rekomendasi laptop yang bagus
tanya_rekomendasi,rekomendasiin laptop murah kak
tanya_rekomendasi,rekomendasiin laptop murah min
